page,breakpoint,component,selector,property,expected,actual,difference,probableCss
"detalhe-anuncio.html","1024x768","Publicações desse anúncio",".detail-section--ad-publications > .detail-section__header","header.height","34","40.59375","6.59","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"detalhe-anuncio.html","1024x768","Compare antes de contratar",".detail-section--similar-ads > .detail-section__header","header.height","34","40.59375","6.59","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"comunidade.html","1024x768","Comunidade / seções",".communities-v2-section__heading","header.height","34","44.875","10.88","assets/css/pages/comunidade/compact-cards-v4.css; assets/css/pages/comunidade/discovery-v2.css; assets/css/pages/comunidade/discovery-v3.css; assets/css/pages/comunidade/image-cover-redesign.css"
"configuracoes.html","1024x768","Configurações / seções",".settings-section-heading","header.height","34","50","16","assets/css/pages/configuracoes.css; assets/css/components/shell/doke-shell-contract.css; assets/css/components/sections/section-header-canonical-contract.css"
"index.html","1280x800","Mais anúncios",".more-services > .section-heading","header.height","34","64","30","assets/css/pages/home/chrome.css; assets/css/pages/home/hero.css; assets/css/pages/home/index-final-refinement.css; assets/css/pages/home/layout.css"
"detalhe-anuncio.html","1280x800","Workers relacionados",".detail-section--ad-workers > .detail-section__header","header.height","34","45.859375","11.86","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"detalhe-anuncio.html","1280x800","Publicações desse anúncio",".detail-section--ad-publications > .detail-section__header","header.height","34","45.859375","11.86","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"detalhe-anuncio.html","1280x800","Compare antes de contratar",".detail-section--similar-ads > .detail-section__header","header.height","34","45.859375","11.86","assets/css/pages/detalhe-anuncio/detail-content.css; assets/css/pages/detalhe-anuncio/detail-legacy.css; assets/css/pages/detalhe-anuncio/detail-responsive.css; assets/css/pages/detalhe-anuncio-rail-parity.css"
"comunidade.html","1280x800","Comunidade / seções",".communities-v2-section__heading","header.height","34","50.140625","16.14","assets/css/pages/comunidade/compact-cards-v4.css; assets/css/pages/comunidade/discovery-v2.css; assets/css/pages/comunidade/discovery-v3.css; assets/css/pages/comunidade/image-cover-redesign.css"
"configuracoes.html","1280x800","Configurações / seções",".settings-section-heading","header.height","34","50","16","assets/css/pages/configuracoes.css; assets/css/components/shell/doke-shell-contract.css; assets/css/components/sections/section-header-canonical-contract.css"
