page,breakpoint,component,before_x,after_x,before_width,after_width,before_height,after_height,content_x_reference,after_delta_to_content_x,status
resultados.html,810x1080,inner,0,0,810,810,184,184,304.3,-304.3,own-layout-or-pending
resultados.html,810x1080,content,304.3,304.3,481.4,481.4,896.4,896.4,304.3,0.0,not-applicable
index.html,810x1080,header,0,0,810,810,96,96,164.3,-164.3,own-layout-or-pending
index.html,810x1080,inner,24.3,24.3,761.4,761.4,48,48,164.3,-140.0,own-layout-or-pending
index.html,810x1080,actions,24.3,24.3,616.1,616.1,48,48,164.3,-140.0,own-layout-or-pending
index.html,810x1080,content,164.3,164.3,481.4,481.4,2551.7,2551.7,164.3,0.0,not-applicable
configuracoes.html,810x1080,content,0,0,810,810,696.5,696.5,0,0,not-applicable
pedidos.html,1024x768,header,280,280,744,744,86,86,310.7,-30.7,own-layout-or-pending
pedidos.html,1024x768,inner,310.7,310.7,682.5,682.5,48,48,310.7,0.0,aligned
pedidos.html,1024x768,actions,368.7,368.7,344.6,344.6,48,48,310.7,58.0,own-layout-or-pending
pedidos.html,1024x768,content,310.7,310.7,682.5,682.5,1655.8,1655.8,310.7,0.0,not-applicable
mensagens.html,1024x768,header,0,0,1024,1024,86,86,0,0,aligned
mensagens.html,1024x768,inner,52,52,920,920,48,48,0,52,own-layout-or-pending
mensagens.html,1024x768,actions,168,168,99.8,99.8,48,48,0,168,own-layout-or-pending
mensagens.html,1024x768,content,0,0,1024,1024,768,768,0,0,not-applicable
notificacoes.html,1024x768,header,280,280,744,744,86,86,310.7,-30.7,own-layout-or-pending
notificacoes.html,1024x768,inner,310.7,310.7,682.5,682.5,48,48,310.7,0.0,aligned
notificacoes.html,1024x768,actions,368.7,368.7,347.6,347.6,48,48,310.7,58.0,own-layout-or-pending
notificacoes.html,1024x768,content,310.7,310.7,682.5,682.5,7023.1,7023.1,310.7,0.0,not-applicable
comunidade.html,1024x768,header,280,280,744,744,86,86,310.7,-30.7,own-layout-or-pending
comunidade.html,1024x768,inner,310.7,310.7,682.5,682.5,48,48,310.7,0.0,aligned
comunidade.html,1024x768,actions,368.7,368.7,342.7,342.7,48,48,310.7,58.0,own-layout-or-pending
comunidade.html,1024x768,content,310.7,310.7,682.5,682.5,1728.5,1728.5,310.7,0.0,not-applicable
carteira.html,1024x768,header,280,280,744,744,86,86,310.7,-30.7,own-layout-or-pending
carteira.html,1024x768,inner,310.7,310.7,682.5,682.5,48,48,310.7,0.0,aligned
carteira.html,1024x768,actions,368.7,368.7,386.8,386.8,48,48,310.7,58.0,own-layout-or-pending
carteira.html,1024x768,content,310.7,310.7,682.5,682.5,1977.1,1977.1,310.7,0.0,not-applicable
perfil.html,1024x768,header,265,265,744,744,86,86,310.7,-45.7,own-layout-or-pending
perfil.html,1024x768,inner,295.7,295.7,682.5,682.5,48,48,310.7,-15.0,own-layout-or-pending
perfil.html,1024x768,actions,295.7,295.7,537.3,537.3,48,48,310.7,-15.0,own-layout-or-pending
perfil.html,1024x768,content,310.7,310.7,682.5,682.5,701.8,701.8,310.7,0.0,not-applicable
detalhe-anuncio.html,1024x768,header,280,280,744,744,96,96,0,280,own-layout-or-pending
detalhe-anuncio.html,1024x768,inner,304,310.7,762,682.5,48,48,0,310.7,own-layout-or-pending
detalhe-anuncio.html,1024x768,actions,304,310.7,612,532.5,48,48,0,310.7,own-layout-or-pending
detalhe-anuncio.html,1024x768,content,0,0,1024,1024,5703.9,5703.9,0,0,not-applicable
resultados.html,1024x768,header,0,0,1024,1024,184,184,310.7,-310.7,own-layout-or-pending
resultados.html,1024x768,inner,0,0,1024,1024,184,184,310.7,-310.7,own-layout-or-pending
resultados.html,1024x768,content,310.7,310.7,682.5,682.5,1085.1,1085.1,310.7,0.0,not-applicable
index.html,1024x768,header,0,0,1024,1024,96,96,170.7,-170.7,own-layout-or-pending
index.html,1024x768,inner,30.7,30.7,962.5,962.5,48,48,170.7,-140.0,own-layout-or-pending
index.html,1024x768,actions,30.7,30.7,817.3,817.3,48,48,170.7,-140.0,own-layout-or-pending
