page,breakpoint,component,selector,property,expected,before,after,beforeDiff,afterDiff,status,probableCss
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",box.height,21.31,17,15,-4.31,-23,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.left,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.right,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",fontSize,13.33,16,13.33,2.67,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",box.height,21.31,17,15,-4.31,-23,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.left,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.right,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",fontSize,13.33,16,13.33,2.67,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,390x844,filter-pills,".search-scope__option span, .search-scope__filter-toggle",lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,box.width,319.8,108,319.8,-211.8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,box.height,262.88,425.83,262.88,162.95,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,media.aspectRatio,3.06,0.72,3.06,-2.34,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,box.width,319.8,108,319.8,-211.8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,box.height,262.88,425.83,262.88,162.95,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,media.aspectRatio,3.06,0.72,3.06,-2.34,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,box.width,319.8,108,319.8,-211.8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,box.height,262.88,425.83,262.88,162.95,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,media.aspectRatio,3.06,0.72,3.06,-2.34,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,doke-ad-card,[data-similar-ads-grid] > .doke-ad-card,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,publication-card,[data-related-publications-list] > .publication-card,box.width,362,354,319.8,-8,-42.2,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,publication-card,[data-related-publications-list] > .publication-card,box.height,283.3,330,330,46.7,46.7,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,publication-card,[data-related-publications-list] > .publication-card,box.width,362,354,319.8,-8,-42.2,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,publication-card,[data-related-publications-list] > .publication-card,box.height,283.3,330,330,46.7,46.7,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,publication-card,[data-related-publications-list] > .publication-card,box.width,362,354,319.8,-8,-42.2,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,publication-card,[data-related-publications-list] > .publication-card,box.height,283.3,330,330,46.7,46.7,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
detalhe-anuncio.html,390x844,rails/containers,.ad-detail-shell,textClipped,false,true,true,clipped,clipped,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
perfil.html,390x844,rails/containers,.profile-shell-content,box.x,18,10.5,10.5,-7.5,-7.5,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,box.height,21.31,36,21.31,14.69,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,padding.left,6,13,6,7,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,padding.right,6,13,6,7,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,radius,0,999,0,999,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,gap,0,8,8,8,8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,box.height,21.31,36,21.31,14.69,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,padding.left,6,13,6,7,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,padding.right,6,13,6,7,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,radius,0,999,0,999,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,gap,0,8,8,8,8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,box.height,21.31,36,21.31,14.69,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,padding.left,6,13,6,7,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,padding.right,6,13,6,7,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,radius,0,999,0,999,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,lineHeight,15.33,0,15.33,-15.33,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
comunidade.html,390x844,filter-pills,.communities-filter,gap,0,8,8,8,8,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,box.width,278,572,320,294,42,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,box.height,262.88,855.47,262.88,592.59,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,overflow.selfX,0,164,0,164,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,box.width,278,572,320,294,42,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,box.height,262.88,855.47,262.88,592.59,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,overflow.selfX,0,164,0,164,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,box.width,278,572,320,294,42,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,box.height,262.88,855.47,262.88,592.59,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,media.height,104,148,104,44,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,doke-ad-card,.results-grid > .doke-ad-card,overflow.selfX,0,164,0,164,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,box.width,272,572,320,300,48,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,box.height,308,1975.55,308,1667.55,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,radius,18,24,0,6,-18,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,overflow.selfX,0,24,24,24,24,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,box.width,272,572,320,300,48,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,box.height,308,1975.55,308,1667.55,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,radius,18,24,0,6,-18,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,overflow.selfX,0,24,24,24,24,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,box.width,272,572,320,300,48,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,box.height,308,1975.55,308,1667.55,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,radius,18,24,0,6,-18,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,publication-card,.results-before-after-grid > .publication-card,overflow.selfX,0,24,24,24,24,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,worker/video-card,.results-videos-grid > .video-card,radius,16,24,16,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,worker/video-card,.results-videos-grid > .video-card,radius,16,24,16,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,worker/video-card,.results-videos-grid > .video-card,radius,16,24,16,8,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",box.height,21.31,17,15,-4.31,-23,remaining,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.left,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
resultados.html,608x926,filter-pills,".search-scope__option span, .search-scope__filter-toggle",padding.right,6,0,6,-6,0,fixed,assets/css/components/layout/marketplace-index-parity-contract.css
