page,breakpoint,component,itemIndex,property,expected,beforeActual,afterActual,beforeDiff,afterDiff,status,probableCss
detalhe-anuncio.html,810x1080,doke-ad-card/similar,1,rel.x,248.59,239.69,248.59,-8.9,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,1,box.width,230.78,481.38,230.78,250.6,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,1,box.height,536.3,544.47,536.3,8.17,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,1,media.height,137.69,148,137.69,10.31,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,2,rel.x,497.19,0,497.19,-497.19,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,2,box.width,230.78,481.38,230.78,250.6,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,2,box.height,536.3,577.91,536.3,41.61,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,doke-ad-card/similar,2,media.height,137.69,148,137.69,10.31,0,fixed,assets/css/components/cards/ad-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,0,box.width,348.3,345.38,348.3,-2.92,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,0,box.height,308,331.3,308,23.3,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,0,media.height,164,178,164,14,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,1,rel.x,366.3,499.39,366.3,133.09,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,1,box.width,348.3,345.38,348.3,-2.92,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,1,box.height,308,330,308,22,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,1,media.height,164,178,164,14,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,2,rel.x,732.59,998.78,732.59,266.19,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,2,box.width,348.3,345.38,348.3,-2.92,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,2,box.height,308,347.66,308,39.66,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,publication-card/relacionada,2,media.height,164,178,164,14,0,fixed,assets/css/components/cards/publication-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,0,box.width,106.84,72.86,106.84,-33.98,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
detalhe-anuncio.html,810x1080,worker-video-card/relacionado,0,box.height,189.97,129.52,189.97,-60.45,0,fixed,assets/css/components/cards/worker-card.css; assets/css/components/layout/focused-index-parity-contract.css
